location,scenario,cohort,value,low,high
kenya,Catch-up 10-35 90%,40_45,27720.2411,27493.6142,27946.8680
kenya,Catch-up 10-35 90%,45_50,19486.1315,19362.2421,19610.0209
kenya,Catch-up 10-35 90%,50_55,14326.5932,14081.8362,14571.3503
kenya,Catch-up 10-35 90%,55_60,9476.7785,9401.2362,9552.3208
kenya,Catch-up 10-40 10%,10_15,24883.6258,24285.3309,25481.9207
kenya,Catch-up 10-40 10%,15_20,45993.9201,44939.3497,47048.4906
kenya,Catch-up 10-40 10%,20_25,50375.3733,49423.5404,51327.2063
kenya,Catch-up 10-40 10%,25_30,47244.1457,47032.6273,47455.6642
kenya,Catch-up 10-40 10%,30_35,41484.0462,40344.8683,42623.2240
kenya,Catch-up 10-40 10%,35_40,34269.7574,33632.1805,34907.3344
kenya,Catch-up 10-40 10%,40_45,28203.7118,28043.5621,28363.8615
kenya,Catch-up 10-40 10%,45_50,19833.6259,19776.2138,19891.0381
kenya,Catch-up 10-40 10%,50_55,14923.3773,14666.5335,15180.2211
kenya,Catch-up 10-40 10%,55_60,9295.4769,9201.8045,9389.1494
kenya,Catch-up 10-40 20%,10_15,22243.4228,21599.8024,22887.0432
kenya,Catch-up 10-40 20%,15_20,39701.2469,39118.0604,40284.4334
kenya,Catch-up 10-40 20%,20_25,43942.9468,43489.6931,44396.2006
kenya,Catch-up 10-40 20%,25_30,42719.1621,42145.0407,43293.2835
kenya,Catch-up 10-40 20%,30_35,38197.9563,37258.2102,39137.7025
kenya,Catch-up 10-40 20%,35_40,32339.6518,31880.3547,32798.9490
kenya,Catch-up 10-40 20%,40_45,28339.6878,28173.4947,28505.8809
kenya,Catch-up 10-40 20%,45_50,20166.0121,20090.4698,20241.5543
kenya,Catch-up 10-40 20%,50_55,14681.6420,14328.1041,15035.1799
kenya,Catch-up 10-40 20%,55_60,9537.2123,9413.3229,9661.1016
kenya,Catch-up 10-40 30%,10_15,18908.2307,18497.2807,19319.1807
kenya,Catch-up 10-40 30%,15_20,33691.8572,32096.4040,35287.3104
kenya,Catch-up 10-40 30%,20_25,38556.7812,37601.9266,39511.6358
kenya,Catch-up 10-40 30%,25_30,37824.0214,37292.2036,38355.8392
kenya,Catch-up 10-40 30%,30_35,33722.0754,32338.1405,35106.0102
kenya,Catch-up 10-40 30%,35_40,29446.3820,29319.4709,29573.2930
kenya,Catch-up 10-40 30%,40_45,27716.4639,27390.1212,28042.8067
kenya,Catch-up 10-40 30%,45_50,20060.2528,19640.2377,20480.2680
kenya,Catch-up 10-40 30%,50_55,14685.4190,14624.9852,14745.8529
kenya,Catch-up 10-40 30%,55_60,9389.9048,9293.2107,9486.5989
kenya,Catch-up 10-40 40%,10_15,17042.3362,16631.3861,17453.2862
kenya,Catch-up 10-40 40%,15_20,28422.7822,28014.8538,28830.7106
kenya,Catch-up 10-40 40%,20_25,33876.9360,33076.1877,34677.6843
kenya,Catch-up 10-40 40%,25_30,33744.7375,33720.5639,33768.9110
kenya,Catch-up 10-40 40%,30_35,30417.1000,29519.6575,31314.5424
kenya,Catch-up 10-40 40%,35_40,26991.2574,26834.1294,27148.3854
kenya,Catch-up 10-40 40%,40_45,27618.2590,27612.2156,27624.3024
kenya,Catch-up 10-40 40%,45_50,19788.3006,19742.9752,19833.6260
kenya,Catch-up 10-40 40%,50_55,14806.2868,14727.7227,14884.8508
kenya,Catch-up 10-40 40%,55_60,9246.3745,9167.8105,9324.9385
kenya,Catch-up 10-40 50%,10_15,14760.9593,14742.8292,14779.0894
kenya,Catch-up 10-40 50%,15_20,24736.3182,24382.7803,25089.8561
kenya,Catch-up 10-40 50%,20_25,30345.3337,30103.5983,30587.0691
kenya,Catch-up 10-40 50%,25_30,30284.9004,30218.4232,30351.3776
kenya,Catch-up 10-40 50%,30_35,27720.2401,26738.1902,28702.2899
kenya,Catch-up 10-40 50%,35_40,24505.9159,24427.3519,24584.4799
kenya,Catch-up 10-40 50%,40_45,26307.6002,26226.0145,26389.1858
kenya,Catch-up 10-40 50%,45_50,19750.5293,19542.0326,19959.0261
kenya,Catch-up 10-40 50%,50_55,14624.9852,14485.9874,14763.9831
kenya,Catch-up 10-40 50%,55_60,9321.9168,9291.6999,9352.1337
kenya,Catch-up 10-40 60%,10_15,13401.1984,13389.1116,13413.2852
kenya,Catch-up 10-40 60%,15_20,20759.0165,20511.2377,21006.7953
kenya,Catch-up 10-40 60%,20_25,24917.6200,24437.1710,25398.0691
kenya,Catch-up 10-40 60%,25_30,26870.3888,26640.7402,27100.0373
kenya,Catch-up 10-40 60%,30_35,24679.6627,24244.5391,25114.7863
kenya,Catch-up 10-40 60%,35_40,22681.5695,22442.8559,22920.2831
kenya,Catch-up 10-40 60%,40_45,26352.9255,26265.2964,26440.5547
kenya,Catch-up 10-40 60%,45_50,19829.8488,19455.1590,20204.5386
kenya,Catch-up 10-40 60%,50_55,14345.4788,14127.9170,14563.0407
kenya,Catch-up 10-40 60%,55_60,9352.1336,9315.8734,9388.3939
kenya,Catch-up 10-40 70%,10_15,12252.9558,11890.3529,12615.5588
kenya,Catch-up 10-40 70%,15_20,18152.8076,18080.2870,18225.3282
kenya,Catch-up 10-40 70%,20_25,23017.7313,22135.3974,23900.0653
kenya,Catch-up 10-40 70%,25_30,23863.8056,23126.5128,24601.0983
kenya,Catch-up 10-40 70%,30_35,21839.2725,21337.6717,22340.8733
kenya,Catch-up 10-40 70%,35_40,20014.9265,19752.0394,20277.8137
kenya,Catch-up 10-40 70%,40_45,25880.7862,25566.5302,26195.0421
kenya,Catch-up 10-40 70%,45_50,19792.0777,19465.7350,20118.4204
kenya,Catch-up 10-40 70%,50_55,14628.7624,14510.9164,14746.6084
kenya,Catch-up 10-40 70%,55_60,9374.7964,9247.8854,9501.7074
kenya,Catch-up 10-40 80%,10_15,11418.2138,10931.7216,11904.7060
kenya,Catch-up 10-40 80%,15_20,15346.4118,14600.0541,16092.7696
kenya,Catch-up 10-40 80%,20_25,19474.7979,19033.6309,19915.9649
kenya,Catch-up 10-40 80%,25_30,20894.9934,20399.4360,21390.5508
kenya,Catch-up 10-40 80%,30_35,19051.7619,18217.7750,19885.7487
kenya,Catch-up 10-40 80%,35_40,17537.1394,17455.5537,17618.7251
kenya,Catch-up 10-40 80%,40_45,25865.6777,25636.0291,26095.3262
kenya,Catch-up 10-40 80%,45_50,19168.8538,18966.4005,19371.3070
kenya,Catch-up 10-40 80%,50_55,14609.8768,14374.1848,14845.5688
kenya,Catch-up 10-40 80%,55_60,9465.4471,9429.1868,9501.7074
kenya,Catch-up 10-40 90%,10_15,9933.8081,9909.6346,9957.9816
kenya,Catch-up 10-40 90%,15_20,12981.9386,12646.5310,13317.3462
kenya,Catch-up 10-40 90%,20_25,16849.7034,16568.6861,17130.7208
kenya,Catch-up 10-40 90%,25_30,18288.7846,17666.3161,18911.2530
kenya,Catch-up 10-40 90%,30_35,16959.2406,16741.6789,17176.8024
kenya,Catch-up 10-40 90%,35_40,15678.7990,15615.3434,15742.2545
kenya,Catch-up 10-40 90%,40_45,25159.3573,25156.3356,25162.3790
kenya,Catch-up 10-40 90%,45_50,19773.1921,19594.9123,19951.4719
kenya,Catch-up 10-40 90%,50_55,14553.2201,14387.0270,14719.4131
kenya,Catch-up 10-40 90%,55_60,9359.6879,9347.6011,9371.7746
kenya,Catch-up 10-45 10%,10_15,25193.3493,24510.4469,25876.2516
kenya,Catch-up 10-45 10%,15_20,46435.8426,46157.8469,46713.8382
kenya,Catch-up 10-45 10%,20_25,50904.1695,50055.0740,51753.2649
kenya,Catch-up 10-45 10%,25_30,47534.9835,46063.4196,49006.5474
kenya,Catch-up 10-45 10%,30_35,41253.6422,40069.1391,42438.1454
kenya,Catch-up 10-45 10%,35_40,34870.3187,34489.5856,35251.0518
kenya,Catch-up 10-45 10%,40_45,27006.3663,26631.6765,27381.0561
kenya,Catch-up 10-45 10%,45_50,19871.3970,19747.5077,19995.2864
kenya,Catch-up 10-45 10%,50_55,14847.8350,14675.5986,15020.0714
kenya,Catch-up 10-45 10%,55_60,9337.0252,9155.7238,9518.3267
kenya,Catch-up 10-45 20%,10_15,22062.1212,21799.2341,22325.0083
kenya,Catch-up 10-45 20%,15_20,40211.1573,38815.1357,41607.1789
kenya,Catch-up 10-45 20%,20_25,45049.6415,44949.9257,45149.3573
kenya,Catch-up 10-45 20%,25_30,42122.3780,41657.0375,42587.7185
kenya,Catch-up 10-45 20%,30_35,37910.8957,37243.1018,38578.6896
kenya,Catch-up 10-45 20%,35_40,31214.0716,30911.9025,31516.2408
kenya,Catch-up 10-45 20%,40_45,24717.4349,24669.0878,24765.7819
kenya,Catch-up 10-45 20%,45_50,19557.8966,19521.6363,19594.1569
kenya,Catch-up 10-45 20%,50_55,14311.4848,14145.2917,14477.6778
kenya,Catch-up 10-45 20%,55_60,9571.2063,9553.0761,9589.3365
kenya,Catch-up 10-45 30%,10_15,18420.9829,18182.2693,18659.6965
kenya,Catch-up 10-45 30%,15_20,33249.9348,33192.5227,33307.3469
kenya,Catch-up 10-45 30%,20_25,38152.6300,36723.3698,39581.8902
kenya,Catch-up 10-45 30%,25_30,37514.2980,36813.2655,38215.3305
kenya,Catch-up 10-45 30%,30_35,33771.1778,33544.5509,33997.8047
kenya,Catch-up 10-45 30%,35_40,29355.7312,28672.8288,30038.6335
kenya,Catch-up 10-45 30%,40_45,23013.9561,22908.1969,23119.7153
kenya,Catch-up 10-45 30%,45_50,19350.1552,18893.8797,19806.4307
kenya,Catch-up 10-45 30%,50_55,14326.5932,14293.3547,14359.8318
kenya,Catch-up 10-45 30%,55_60,9435.2302,9320.4059,9550.0545
kenya,Catch-up 10-45 40%,10_15,16487.1005,16181.9097,16792.2913
kenya,Catch-up 10-45 40%,15_20,28419.0051,28334.3977,28503.6125
kenya,Catch-up 10-45 40%,20_25,33589.8753,33478.0726,33701.6780
kenya,Catch-up 10-45 40%,25_30,32959.0977,32523.9741,33394.2213
kenya,Catch-up 10-45 40%,30_35,30624.8413,30280.3685,30969.3141
kenya,Catch-up 10-45 40%,35_40,26443.5758,26198.8187,26688.3328
kenya,Catch-up 10-45 40%,40_45,20993.1997,20842.1151,21144.2844
kenya,Catch-up 10-45 40%,45_50,19153.7453,19047.9861,19259.5045
kenya,Catch-up 10-45 40%,50_55,14760.9614,14628.0069,14893.9158
kenya,Catch-up 10-45 40%,55_60,9457.8929,9409.5458,9506.2399
kenya,Catch-up 10-45 50%,10_15,14277.4888,14204.9682,14350.0094
kenya,Catch-up 10-45 50%,15_20,23569.1898,22559.9449,24578.4348
kenya,Catch-up 10-45 50%,20_25,29023.3437,28225.6170,29821.0703
kenya,Catch-up 10-45 50%,25_30,29831.6466,29583.8679,30079.4254
kenya,Catch-up 10-45 50%,30_35,28245.2590,27453.5757,29036.9422
kenya,Catch-up 10-45 50%,35_40,23652.2880,23313.8584,23990.7175
kenya,Catch-up 10-45 50%,40_45,19248.1728,19151.4787,19344.8669
kenya,Catch-up 10-45 50%,45_50,18624.9492,18597.7540,18652.1445
kenya,Catch-up 10-45 50%,50_55,14315.2619,14079.5700,14550.9539
kenya,Catch-up 10-45 50%,55_60,9321.9168,9303.7866,9340.0469
kenya,Catch-up 10-45 60%,10_15,13997.9824,13719.9869,14275.9780
kenya,Catch-up 10-45 60%,15_20,20804.3420,20471.9559,21136.7281
kenya,Catch-up 10-45 60%,20_25,25484.1872,25269.6471,25698.7273
kenya,Catch-up 10-45 60%,25_30,26386.9181,26229.7901,26544.0461
kenya,Catch-up 10-45 60%,30_35,24434.1503,23621.3153,25246.9854
kenya,Catch-up 10-45 60%,35_40,20728.8012,20650.2373,20807.3652
kenya,Catch-up 10-45 60%,40_45,17450.2662,17111.8368,17788.6956
kenya,Catch-up 10-45 60%,45_50,18069.7134,18009.2795,18130.1473
kenya,Catch-up 10-45 60%,50_55,14515.4489,14216.3014,14814.5964
kenya,Catch-up 10-45 60%,55_60,9431.4530,9277.3468,9585.5593
kenya,Catch-up 10-45 70%,10_15,12343.6066,12017.2639,12669.9492
kenya,Catch-up 10-45 70%,15_20,18851.5738,18649.1205,19054.0271
kenya,Catch-up 10-45 70%,20_25,23259.4667,23217.1630,23301.7704
kenya,Catch-up 10-45 70%,25_30,23708.9438,23572.9677,23844.9199
kenya,Catch-up 10-45 70%,30_35,22243.4238,21098.2026,23388.6450
kenya,Catch-up 10-45 70%,35_40,19244.3951,19199.0698,19289.7205
kenya,Catch-up 10-45 70%,40_45,15444.6184,15411.3797,15477.8570
kenya,Catch-up 10-45 70%,45_50,18065.9363,18032.6976,18099.1749
kenya,Catch-up 10-45 70%,50_55,14360.5873,14282.0233,14439.1513
kenya,Catch-up 10-45 70%,55_60,9337.0253,9246.3745,9427.6760
kenya,Catch-up 10-45 80%,10_15,11029.1710,10914.3467,11143.9953
kenya,Catch-up 10-45 80%,15_20,15882.7620,15789.0896,15976.4344
kenya,Catch-up 10-45 80%,20_25,19270.8338,18781.3197,19760.3478
kenya,Catch-up 10-45 80%,25_30,20558.8304,20501.4182,20616.2425
kenya,Catch-up 10-45 80%,30_35,19323.7142,19118.2391,19529.1893
kenya,Catch-up 10-45 80%,35_40,16630.6319,16416.0918,16845.1721
kenya,Catch-up 10-45 80%,40_45,13858.2302,13837.0784,13879.3820
kenya,Catch-up 10-45 80%,45_50,17650.4537,17562.8246,17738.0827
kenya,Catch-up 10-45 80%,50_55,14194.3943,14037.2663,14351.5222
