location,scenario,cohort,value,low,high
kenya,Catch-up 10-35 70%,45_50,19682.5414,19383.3939,19981.6889
kenya,Catch-up 10-35 70%,50_55,14511.6719,14463.3248,14560.0189
kenya,Catch-up 10-35 70%,55_60,9427.6759,9373.2855,9482.0664
kenya,Catch-up 10-35 80%,10_15,11093.3820,11072.2301,11114.5339
kenya,Catch-up 10-35 80%,15_20,16166.0455,15392.4926,16939.5984
kenya,Catch-up 10-35 80%,20_25,23799.5941,23373.5356,24225.6526
kenya,Catch-up 10-35 80%,25_30,28230.1503,28181.8032,28278.4974
kenya,Catch-up 10-35 80%,30_35,30171.5878,29609.5531,30733.6225
kenya,Catch-up 10-35 80%,35_40,34655.0232,34476.7434,34833.3030
kenya,Catch-up 10-35 80%,40_45,27493.6142,27405.9851,27581.2432
kenya,Catch-up 10-35 80%,45_50,19520.1254,19520.1254,19520.1254
kenya,Catch-up 10-35 80%,50_55,14696.7504,14663.5118,14729.9891
kenya,Catch-up 10-35 80%,55_60,9442.7844,9243.3528,9642.2160
kenya,Catch-up 10-35 90%,10_15,10572.1403,10466.3811,10677.8994
kenya,Catch-up 10-35 90%,15_20,14239.7174,13901.2880,14578.1468
kenya,Catch-up 10-35 90%,20_25,21231.1561,20738.6204,21723.6919
kenya,Catch-up 10-35 90%,25_30,26284.9364,25840.7477,26729.1251
kenya,Catch-up 10-35 90%,30_35,28419.0066,27711.9307,29126.0824
kenya,Catch-up 10-35 90%,35_40,34254.6491,34046.1524,34463.1458
kenya,Catch-up 10-35 90%,40_45,27376.5237,26862.8361,27890.2113
kenya,Catch-up 10-35 90%,45_50,19346.3782,19165.0766,19527.6797
kenya,Catch-up 10-35 90%,50_55,14587.2142,14230.6546,14943.7737
kenya,Catch-up 10-35 90%,55_60,9340.8024,9156.4792,9525.1255
kenya,Catch-up 10-40 10%,10_15,25197.1264,24831.5018,25562.7511
kenya,Catch-up 10-40 10%,15_20,45246.0514,44505.7368,45986.3660
kenya,Catch-up 10-40 10%,20_25,51304.5436,51168.5674,51440.5197
kenya,Catch-up 10-40 10%,25_30,48173.3159,47176.1576,49170.4742
kenya,Catch-up 10-40 10%,30_35,41944.8542,41863.2685,42026.4399
kenya,Catch-up 10-40 10%,35_40,36993.0572,36733.1918,37252.9227
kenya,Catch-up 10-40 10%,40_45,28634.3028,28262.6347,29005.9709
kenya,Catch-up 10-40 10%,45_50,19901.6140,19807.9415,19995.2864
kenya,Catch-up 10-40 10%,50_55,14624.9853,14576.6382,14673.3324
kenya,Catch-up 10-40 10%,55_60,9329.4710,9184.4298,9474.5121
kenya,Catch-up 10-40 20%,10_15,22870.4237,22806.9682,22933.8792
kenya,Catch-up 10-40 20%,15_20,39980.7533,39887.0809,40074.4258
kenya,Catch-up 10-40 20%,20_25,45298.9311,43930.1047,46667.7575
kenya,Catch-up 10-40 20%,25_30,44456.6350,44015.4680,44897.8019
kenya,Catch-up 10-40 20%,30_35,39678.5853,38654.2318,40702.9389
kenya,Catch-up 10-40 20%,35_40,35138.4939,35062.9515,35214.0362
kenya,Catch-up 10-40 20%,40_45,28792.9416,28717.3993,28868.4839
kenya,Catch-up 10-40 20%,45_50,20271.7712,20214.3591,20329.1834
kenya,Catch-up 10-40 20%,50_55,14613.6539,14374.9403,14852.3676
kenya,Catch-up 10-40 20%,55_60,9416.3447,9383.1061,9449.5833
kenya,Catch-up 10-40 30%,10_15,19856.2863,19430.2278,20282.3448
kenya,Catch-up 10-40 30%,15_20,35384.0046,35214.7898,35553.2194
kenya,Catch-up 10-40 30%,20_25,41004.3515,40363.7528,41644.9502
kenya,Catch-up 10-40 30%,25_30,41227.2019,40196.8049,42257.5988
kenya,Catch-up 10-40 30%,30_35,36634.2309,35458.7928,37809.6690
kenya,Catch-up 10-40 30%,35_40,33385.9127,33213.6763,33558.1492
kenya,Catch-up 10-40 30%,40_45,28792.9416,28656.9655,28928.9178
kenya,Catch-up 10-40 30%,45_50,19663.6557,19494.4410,19832.8705
kenya,Catch-up 10-40 30%,50_55,14726.9673,14615.1647,14838.7699
kenya,Catch-up 10-40 30%,55_60,9608.9774,9512.2833,9705.6716
kenya,Catch-up 10-40 40%,10_15,16419.1123,16391.9171,16446.3075
kenya,Catch-up 10-40 40%,15_20,29348.1752,29136.6568,29559.6937
kenya,Catch-up 10-40 40%,20_25,35353.7879,34145.1112,36562.4646
kenya,Catch-up 10-40 40%,25_30,37015.7189,36224.0357,37807.4021
kenya,Catch-up 10-40 40%,30_35,35161.1562,33967.5879,36354.7244
kenya,Catch-up 10-40 40%,35_40,31999.7116,31836.5403,32162.8830
kenya,Catch-up 10-40 40%,40_45,28638.0800,28632.0366,28644.1234
kenya,Catch-up 10-40 40%,45_50,20328.4279,19875.1742,20781.6817
kenya,Catch-up 10-40 40%,50_55,14715.6359,14673.3322,14757.9396
kenya,Catch-up 10-40 40%,55_60,9397.4590,9379.3289,9415.5892
kenya,Catch-up 10-40 50%,10_15,15807.2199,15634.9836,15979.4563
kenya,Catch-up 10-40 50%,15_20,25688.1510,25485.6978,25890.6043
kenya,Catch-up 10-40 50%,20_25,31920.3906,31167.9893,32672.7919
kenya,Catch-up 10-40 50%,25_30,34613.4740,34057.4827,35169.4654
kenya,Catch-up 10-40 50%,30_35,32653.1520,31381.0198,33925.2843
kenya,Catch-up 10-40 50%,35_40,30564.4081,30080.9374,31047.8788
kenya,Catch-up 10-40 50%,40_45,28233.9287,27983.1282,28484.7291
kenya,Catch-up 10-40 50%,45_50,19301.0527,19270.8358,19331.2696
kenya,Catch-up 10-40 50%,50_55,14715.6360,14522.2477,14909.0244
kenya,Catch-up 10-40 50%,55_60,9529.6580,9520.5929,9538.7231
kenya,Catch-up 10-40 60%,10_15,13642.9337,13588.5432,13697.3241
kenya,Catch-up 10-40 60%,15_20,21318.0295,21118.5978,21517.4611
kenya,Catch-up 10-40 60%,20_25,28838.2650,27777.6512,29898.8788
kenya,Catch-up 10-40 60%,25_30,31984.6022,31489.0447,32480.1597
kenya,Catch-up 10-40 60%,30_35,31512.4634,30524.3702,32500.5566
kenya,Catch-up 10-40 60%,35_40,29291.5204,29161.5877,29421.4532
kenya,Catch-up 10-40 60%,40_45,27599.3734,27590.3083,27608.4385
kenya,Catch-up 10-40 60%,45_50,19486.1314,18860.6412,20111.6216
kenya,Catch-up 10-40 60%,50_55,14496.5633,14363.6088,14629.5178
kenya,Catch-up 10-40 60%,55_60,9348.3566,9278.8577,9417.8555
kenya,Catch-up 10-40 70%,10_15,12577.7876,12251.4450,12904.1302
kenya,Catch-up 10-40 70%,15_20,18511.6335,18188.3124,18834.9545
kenya,Catch-up 10-40 70%,20_25,25182.0181,24187.8815,26176.1546
kenya,Catch-up 10-40 70%,25_30,29748.5504,28576.1340,30920.9668
kenya,Catch-up 10-40 70%,30_35,29578.5808,28638.8346,30518.3269
kenya,Catch-up 10-40 70%,35_40,28747.6160,28285.2972,29209.9348
kenya,Catch-up 10-40 70%,40_45,27576.7107,27295.6934,27857.7281
kenya,Catch-up 10-40 70%,45_50,19735.4210,19381.8831,20088.9589
kenya,Catch-up 10-40 70%,50_55,14655.2022,14395.3367,14915.0677
kenya,Catch-up 10-40 70%,55_60,9265.2601,9232.0214,9298.4987
kenya,Catch-up 10-40 80%,10_15,11029.1710,10799.5226,11258.8195
kenya,Catch-up 10-40 80%,15_20,16283.1361,15651.6027,16914.6695
kenya,Catch-up 10-40 80%,20_25,23206.5871,22402.8171,24010.3571
kenya,Catch-up 10-40 80%,25_30,27882.6557,27248.1005,28517.2110
kenya,Catch-up 10-40 80%,30_35,28460.5549,27720.2404,29200.8694
kenya,Catch-up 10-40 80%,35_40,27346.3064,27243.5690,27449.0439
kenya,Catch-up 10-40 80%,40_45,27504.9455,27208.8197,27801.0713
kenya,Catch-up 10-40 80%,45_50,19765.6379,19261.0154,20270.2604
kenya,Catch-up 10-40 80%,50_55,14530.5574,14316.0173,14745.0975
kenya,Catch-up 10-40 80%,55_60,9533.4352,9352.1337,9714.7366
kenya,Catch-up 10-40 90%,10_15,10319.0738,9986.6878,10651.4598
kenya,Catch-up 10-40 90%,15_20,14235.9403,13997.2267,14474.6538
kenya,Catch-up 10-40 90%,20_25,21076.2945,20749.9517,21402.6372
kenya,Catch-up 10-40 90%,25_30,26103.6348,25484.1880,26723.0817
kenya,Catch-up 10-40 90%,30_35,27029.0284,26056.0437,28002.0132
kenya,Catch-up 10-40 90%,35_40,27013.9204,26784.2718,27243.5690
kenya,Catch-up 10-40 90%,40_45,27410.5177,26972.3724,27848.6630
kenya,Catch-up 10-40 90%,45_50,19795.8548,19539.0110,20052.6986
kenya,Catch-up 10-40 90%,50_55,14783.6241,14674.8432,14892.4050
kenya,Catch-up 10-40 90%,55_60,9329.4710,9317.3843,9341.5578
kenya,Catch-up 10-45 10%,10_15,25978.9892,25936.6854,26021.2929
kenya,Catch-up 10-45 10%,15_20,45480.2325,44365.2282,46595.2368
kenya,Catch-up 10-45 10%,20_25,50617.1087,49937.2280,51296.9893
kenya,Catch-up 10-45 10%,25_30,48071.3338,46648.1169,49494.5506
kenya,Catch-up 10-45 10%,30_35,42375.4453,41429.6558,43321.2349
kenya,Catch-up 10-45 10%,35_40,36260.2970,36048.7785,36471.8154
kenya,Catch-up 10-45 10%,40_45,28011.0789,27805.6038,28216.5540
kenya,Catch-up 10-45 10%,45_50,19935.6080,19627.3955,20243.8206
kenya,Catch-up 10-45 10%,50_55,14757.1843,14675.5985,14838.7700
kenya,Catch-up 10-45 10%,55_60,9563.6521,9509.2616,9618.0425
kenya,Catch-up 10-45 20%,10_15,22617.3572,22200.3637,23034.3506
kenya,Catch-up 10-45 20%,15_20,40762.6161,39644.5902,41880.6421
kenya,Catch-up 10-45 20%,20_25,45706.8595,44881.9376,46531.7814
kenya,Catch-up 10-45 20%,25_30,44301.7733,44280.6215,44322.9252
kenya,Catch-up 10-45 20%,30_35,39455.7356,39207.9568,39703.5143
kenya,Catch-up 10-45 20%,35_40,34371.7396,34039.3535,34704.1258
kenya,Catch-up 10-45 20%,40_45,27165.0052,27038.0941,27291.9162
kenya,Catch-up 10-45 20%,45_50,19391.7036,19143.9248,19639.4823
kenya,Catch-up 10-45 20%,50_55,14523.0032,14501.8514,14544.1549
kenya,Catch-up 10-45 20%,55_60,9635.4172,9511.5279,9759.3065
kenya,Catch-up 10-45 30%,10_15,19882.7263,19302.5615,20462.8911
kenya,Catch-up 10-45 30%,15_20,35104.4980,34923.1966,35285.7995
kenya,Catch-up 10-45 30%,20_25,40573.7604,40108.4198,41039.1010
kenya,Catch-up 10-45 30%,25_30,40384.9053,40167.3434,40602.4671
kenya,Catch-up 10-45 30%,30_35,37499.1902,36888.8084,38109.5720
kenya,Catch-up 10-45 30%,35_40,32109.2479,31755.7100,32462.7859
kenya,Catch-up 10-45 30%,40_45,26681.5346,26216.1941,27146.8751
