coverage,location,scenario,metric,value,low,high
30,kenya,Catch-up 20-60: TTV,cancers,302592.1047,294034.6770,311149.5323
30,kenya,Catch-up 20-60: TTV,cancer_deaths,267034.3386,259933.3670,274135.3102
30,kenya,Catch-up 20-60: TTV,vaccinations,3911941.7500,,
30,kenya,Catch-up 20-60: V,cancers,322784.5495,315532.4923,330036.6066
30,kenya,Catch-up 20-60: V,cancer_deaths,285043.6163,277652.5612,292434.6715
30,kenya,Catch-up 20-60: V,vaccinations,3911941.7500,,
30,kenya,Catch-up 20-60: TT,cancers,352121.3879,344769.6149,359473.1608
30,kenya,Catch-up 20-60: TT,cancer_deaths,306142.5724,300540.3585,311744.7864
30,kenya,Catch-up 20-60: TT,vaccinations,0.0000,,
30,kenya,Catch-up 25-30: TTV,cancers,351162.0006,343900.8783,358423.1229
30,kenya,Catch-up 25-30: TTV,cancer_deaths,306425.8586,299551.5133,313300.2040
30,kenya,Catch-up 25-30: TTV,vaccinations,752401.1250,,
30,kenya,Catch-up 25-30: V,cancers,356026.9222,349333.8767,362719.9678
30,kenya,Catch-up 25-30: V,cancer_deaths,310965.9482,304659.6780,317272.2183
30,kenya,Catch-up 25-30: V,vaccinations,752401.1250,,
30,kenya,Catch-up 25-30: TT,cancers,369023.9670,360956.0548,377091.8791
30,kenya,Catch-up 25-30: TT,cancer_deaths,319558.8796,312246.3866,326871.3725
30,kenya,Catch-up 25-30: TT,vaccinations,0.0000,,
30,kenya,Catch-up 25-35: TTV,cancers,341526.5836,334171.7890,348881.3782
30,kenya,Catch-up 25-35: TTV,cancer_deaths,297987.7862,292044.1202,303931.4523
30,kenya,Catch-up 25-35: TTV,vaccinations,1369921.3750,,
30,kenya,Catch-up 25-35: V,cancers,347826.8104,339444.6432,356208.9776
30,kenya,Catch-up 25-35: V,cancer_deaths,303917.8543,297907.7108,309927.9977
30,kenya,Catch-up 25-35: V,vaccinations,1369921.3750,,
30,kenya,Catch-up 25-35: TT,cancers,362176.0627,354201.8216,370150.3038
30,kenya,Catch-up 25-35: TT,cancer_deaths,314591.9778,307179.7692,322004.1865
30,kenya,Catch-up 25-35: TT,vaccinations,0.0000,,
30,kenya,Catch-up 25-40: TTV,cancers,337232.0069,330943.8697,343520.1440
30,kenya,Catch-up 25-40: TTV,cancer_deaths,294320.2064,288512.5163,300127.8966
30,kenya,Catch-up 25-40: TTV,vaccinations,1893625.7500,,
30,kenya,Catch-up 25-40: V,cancers,341843.8635,333920.9913,349766.7358
30,kenya,Catch-up 25-40: V,cancer_deaths,299305.9988,292869.7986,305742.1990
30,kenya,Catch-up 25-40: V,vaccinations,1893625.7500,,
30,kenya,Catch-up 25-40: TT,cancers,364888.0270,357010.4811,372765.5729
30,kenya,Catch-up 25-40: TT,cancer_deaths,316990.4456,309442.2627,324538.6286
