location,coverage,scenario,year,metric,value,low,high
kenya,70,Routine vax only,2027.0000,asr_cancer_incidence,26.5229,25.6313,27.3847
kenya,70,Routine vax only,2028.0000,asr_cancer_incidence,25.9480,23.7470,27.1455
kenya,70,Routine vax only,2029.0000,asr_cancer_incidence,24.5028,22.6593,24.9223
kenya,70,Routine vax only,2030.0000,asr_cancer_incidence,25.3289,24.1561,25.9444
kenya,70,Routine vax only,2031.0000,asr_cancer_incidence,24.5162,23.9786,25.3941
kenya,70,Routine vax only,2032.0000,asr_cancer_incidence,25.0828,24.5918,26.1168
kenya,70,Routine vax only,2033.0000,asr_cancer_incidence,24.3709,23.6800,25.7461
kenya,70,Routine vax only,2034.0000,asr_cancer_incidence,24.2474,22.9401,24.9785
kenya,70,Routine vax only,2035.0000,asr_cancer_incidence,24.1019,23.1670,25.4158
kenya,70,Routine vax only,2036.0000,asr_cancer_incidence,24.2492,23.3021,25.5177
kenya,70,Routine vax only,2037.0000,asr_cancer_incidence,23.5583,22.9279,23.9459
kenya,70,Routine vax only,2038.0000,asr_cancer_incidence,22.6689,21.8633,23.4788
kenya,70,Routine vax only,2039.0000,asr_cancer_incidence,23.3602,22.5201,24.0862
kenya,70,Routine vax only,2040.0000,asr_cancer_incidence,22.2767,21.6954,23.5227
kenya,70,Routine vax only,2041.0000,asr_cancer_incidence,22.1534,21.7338,23.0260
kenya,70,Routine vax only,2042.0000,asr_cancer_incidence,21.9945,21.0678,22.5622
kenya,70,Routine vax only,2043.0000,asr_cancer_incidence,21.1716,20.5229,22.6238
kenya,70,Routine vax only,2044.0000,asr_cancer_incidence,20.6103,20.2333,21.4249
kenya,70,Routine vax only,2045.0000,asr_cancer_incidence,20.6158,19.7054,21.2124
kenya,70,Routine vax only,2046.0000,asr_cancer_incidence,20.4238,19.9509,20.9365
kenya,70,Routine vax only,2047.0000,asr_cancer_incidence,19.7500,19.1317,20.5204
kenya,70,Routine vax only,2048.0000,asr_cancer_incidence,19.5606,18.8741,19.8698
kenya,70,Routine vax only,2049.0000,asr_cancer_incidence,19.1442,18.0905,19.3503
kenya,70,Routine vax only,2050.0000,asr_cancer_incidence,17.9976,17.7133,18.6680
kenya,70,Routine vax only,2051.0000,asr_cancer_incidence,17.8234,17.1311,17.9795
kenya,70,Routine vax only,2052.0000,asr_cancer_incidence,17.0593,16.5826,17.3948
kenya,70,Routine vax only,2053.0000,asr_cancer_incidence,16.3575,15.7496,16.6925
kenya,70,Routine vax only,2054.0000,asr_cancer_incidence,15.6016,14.9842,16.8333
kenya,70,Routine vax only,2055.0000,asr_cancer_incidence,14.7292,13.8593,15.3236
kenya,70,Routine vax only,2056.0000,asr_cancer_incidence,14.6556,14.1193,15.0558
kenya,70,Routine vax only,2057.0000,asr_cancer_incidence,14.2235,13.0040,15.0412
kenya,70,Routine vax only,2058.0000,asr_cancer_incidence,13.1620,12.6265,13.5075
kenya,70,Routine vax only,2059.0000,asr_cancer_incidence,12.5920,12.3112,13.2630
kenya,70,Routine vax only,2060.0000,asr_cancer_incidence,11.9425,11.7308,12.2577
kenya,70,Routine vax only,2061.0000,asr_cancer_incidence,11.3949,10.6691,11.5861
kenya,70,Routine vax only,2062.0000,asr_cancer_incidence,11.0458,10.4227,11.7092
kenya,70,Routine vax only,2063.0000,asr_cancer_incidence,10.6941,10.5801,10.8471
kenya,70,Routine vax only,2064.0000,asr_cancer_incidence,9.6526,9.3230,9.9927
kenya,70,Routine vax only,2065.0000,asr_cancer_incidence,9.3303,8.9074,9.7362
kenya,70,Routine vax only,2066.0000,asr_cancer_incidence,9.0852,8.6263,9.2306
kenya,70,Routine vax only,2067.0000,asr_cancer_incidence,8.3711,7.9717,8.8093
kenya,70,Routine vax only,2068.0000,asr_cancer_incidence,7.9827,7.4633,8.1917
kenya,70,Routine vax only,2069.0000,asr_cancer_incidence,7.3800,7.1380,7.6337
kenya,70,Routine vax only,2070.0000,asr_cancer_incidence,7.0585,6.6594,7.5146
kenya,70,Routine vax only,2071.0000,asr_cancer_incidence,6.7083,6.3721,7.1925
kenya,70,Routine vax only,2072.0000,asr_cancer_incidence,6.4313,6.1631,6.4843
kenya,70,Routine vax only,2073.0000,asr_cancer_incidence,5.8274,5.4823,6.3129
kenya,70,Routine vax only,2074.0000,asr_cancer_incidence,5.5213,5.2899,5.7289
kenya,70,Routine vax only,2075.0000,asr_cancer_incidence,5.2136,5.1204,5.3515
kenya,70,Routine vax only,2076.0000,asr_cancer_incidence,4.9261,4.6770,5.2568
kenya,70,Routine vax only,2077.0000,asr_cancer_incidence,4.5400,4.2929,4.8128
kenya,70,Routine vax only,2078.0000,asr_cancer_incidence,4.3591,4.1141,4.4521
kenya,70,Routine vax only,2079.0000,asr_cancer_incidence,4.3566,3.8196,4.6167
kenya,70,Routine vax only,2080.0000,asr_cancer_incidence,3.9556,3.7948,4.1583
kenya,70,Routine vax only,2081.0000,asr_cancer_incidence,3.7725,3.5212,4.0279
kenya,70,Routine vax only,2082.0000,asr_cancer_incidence,3.6237,3.2508,3.8230
kenya,70,Routine vax only,2083.0000,asr_cancer_incidence,3.3130,3.1169,3.6679
kenya,70,Routine vax only,2084.0000,asr_cancer_incidence,3.3164,3.0882,3.4917
kenya,70,Routine vax only,2085.0000,asr_cancer_incidence,2.9934,2.8624,3.1761
kenya,70,Routine vax only,2086.0000,asr_cancer_incidence,3.1138,2.9660,3.2562
kenya,70,Routine vax only,2087.0000,asr_cancer_incidence,3.1184,2.7184,3.2280
kenya,70,Routine vax only,2088.0000,asr_cancer_incidence,2.9345,2.7878,3.0585
kenya,70,Routine vax only,2089.0000,asr_cancer_incidence,2.8402,2.6267,2.9076
kenya,70,Routine vax only,2090.0000,asr_cancer_incidence,2.7067,2.4640,3.0514
kenya,70,Routine vax only,2091.0000,asr_cancer_incidence,2.6330,2.5557,2.8060
kenya,70,Routine vax only,2092.0000,asr_cancer_incidence,2.6801,2.5692,2.8332
kenya,70,Routine vax only,2093.0000,asr_cancer_incidence,2.5420,2.4018,2.7999
kenya,70,Routine vax only,2094.0000,asr_cancer_incidence,2.4986,2.4040,2.9754
kenya,70,Routine vax only,2095.0000,asr_cancer_incidence,2.5657,2.5191,2.9219
kenya,70,Routine vax only,2096.0000,asr_cancer_incidence,2.4824,2.2136,2.5835
kenya,70,Routine vax only,2097.0000,asr_cancer_incidence,2.5354,2.2707,2.7218
kenya,70,Routine vax only,2098.0000,asr_cancer_incidence,2.3540,2.2203,2.6693
kenya,70,Routine vax only,2099.0000,asr_cancer_incidence,2.5740,2.3338,2.7238
kenya,70,Routine vax only,2100.0000,asr_cancer_incidence,2.4201,2.2878,2.6048
kenya,70,Routine vax only,2020.0000,cancers,4698.7289,4532.5359,4883.8073
kenya,70,Routine vax only,2021.0000,cancers,4974.4582,4838.4821,5178.4223
kenya,70,Routine vax only,2022.0000,cancers,4812.0425,4608.0784,5201.0848
kenya,70,Routine vax only,2023.0000,cancers,5027.3378,4785.6025,5295.5127
kenya,70,Routine vax only,2024.0000,cancers,5004.6750,4800.7108,5454.1515
kenya,70,Routine vax only,2025.0000,cancers,5125.5425,4895.1388,5287.9586
kenya,70,Routine vax only,2026.0000,cancers,5352.1696,4955.5724,5522.1395
kenya,70,Routine vax only,2027.0000,cancers,5533.4709,5306.8441,5744.9893
